Institution,Tender Link
(Advertised Tenders),https://www.mopani.gov.za/index.php?page=tenders
(or nationalgovernment link),https://www.afrikaansetaalmuseum.co.za
(under DoL),https://www.labour.gov.za/
2. Provincial (independent/primary)Gauteng,https://etenders.gauteng.gov.za/
3. Major Metros (dedicated tender pages)City of Johannesburg,https://www.joburg.org.za/work_/Pages/Work%20in%20Joburg/Tenders%20and%20Quotations/Tenders-and-Quotations.aspx
4. CIDBCIDB Current Tenders,https://www.cidb.org.za/cidb-tenders/current-tenders/
5. Key OthersRand Water,https://bids.randwater.co.za/Public/Procurement/Bids/ViewPublishedBids.aspx
ACSA,https://www.airports.co.za/Pages/Tender-Bulletin.aspx
Accounting Standards Board (ASB),https://www.asb.co.za/
Agricultural Research Council (ARC),https://www.arc.agric.za/
Agrément South Africa,https://agrement.co.za/
Alfred Nzo,https://www.winniemadikizelamandela.gov.za
Alfred Nzo,https://www.umzimvubu.gov.za
Alfred Nzo,https://www.matatiele.gov.za
Alfred Nzo,https://www.ntabankulu.gov.za
AmaZwi South African Museum of Literature,https://www.amazwi.museum/
Amajuba,https://www.emadlangeni.gov.za
Amajuba,https://www.dannhauser.gov.za
Amajuba,https://www.newcastle.gov.za
Amajuba District,https://www.amajuba.gov.za
Amathole,https://www.mbhashe.gov.za
Amathole,https://www.mnquma.gov.za
Amathole,https://www.amahlathi.gov.za
Amathole,https://www.raymondmhlaba.gov.za
Amathole,https://www.ngqushwa.gov.za
Amathole,https://www.greatkeilm.gov.za
Amatola Water,https://www.amatolawater.co.za/scm/tenders
Armscor,https://www.armscor.co.za/tenders/
Artscape NPC,https://www.artscape.co.za/
Banking Sector Education and Training Authority (BANKSETA),https://bankseta.org.za/
Bojanala Platinum,https://www.moseskotane.gov.za
Bojanala Platinum,https://www.madibeng.gov.za
Bojanala Platinum,https://www.kgetlengrivier.gov.za
Bojanala Platinum,https://www.moretele.gov.za
Bojanala Platinum,https://www.rustenburg.gov.za
Bojanala Platinum District,https://www.bojanala.gov.za
Boland College,https://bolandcollege.com/work-with-us/tenders/
Boland TVET College,https://bolandcollege.com/
Border Management Authority (BMA),https://www.bma.gov.za/
Boxing South Africa,https://boxingsa.co.za/
Breedlove-Olifants Catchment Management Agency,https://www.bocma.co.za/
Buffalo City,https://www.buffalocity.gov.za/tenders/
Buffalo City TVET College,https://www.bctvet.edu.za
CSIR,https://www.csir.co.za/tender
CSIR (Council for Scientific and Industrial Research),https://www.csir.co.za/work-with-us/tenders
Cape Peninsula University of Technology (CPUT),https://www.cput.ac.za/services/procurement
Cape Winelands,https://www.witzenberg.gov.za
Cape Winelands,https://www.drakenstein.gov.za
Cape Winelands,https://www.stellenbosch.gov.za
Cape Winelands,https://www.langeberg.gov.za
Cape Winelands,https://www.bvm.gov.za
Cape Winelands District,https://capewinelands.gov.za
Capricorn,https://www.polokwane.gov.za
Capricorn,https://www.molemole.gov.za
Capricorn,https://www.aganang.gov.za
Capricorn,https://www.blouberg.gov.za
Capricorn,https://www.lepelle-nkumpi.gov.za
Capricorn District,https://www.cdm.org.za
Capricorn TVET College,https://www.capricorncollege.edu.za/
Castle Control Board,https://www.castleofgoodhope.co.za/
Central Johannesburg TVET College,https://cjc.edu.za/
Central Karoo,https://laingsburg.gov.za
Central Karoo,https://www.beaufortwestmun.co.za
Central Karoo,https://www.pamun.gov.za
Central Karoo District,https://www.ckdm.gov.za
"Central University of Technology, Free State",https://www.cut.ac.za/tender-bulletins
Chemical Industries Education and Training Authority (CHIETA),https://www.chieta.org.za/
Chris Hani,https://www.enochmgijima.gov.za
Chris Hani,https://www.emalahleni.gov.za
Chris Hani,https://www.drabxuma.gov.za
Chris Hani,https://www.inxubayethemba.gov.za
Chris Hani,https://www.sakhisizwe.gov.za
City of Cape Town,https://web1.capetown.gov.za/web1/tenderportal/
City of Tshwane  (Tenders section loads directly),https://www.tshwane.gov.za/?page_id=108
Coastal TVET College,https://www.coastalkzn.co.za/
College of Cape Town for TVET,https://www.cct.edu.za/
Commission for Conciliation Mediation and Arbitration (CCMA),https://www.ccma.org.za/
Community Schemes Ombud Service (CSOS),https://www.csos.org.za/
Companies Tribunal,https://www.companiestribunal.org.za/
Companies and Intellectual Property Commission (CIPC),https://www.cipc.co.za/
Competition Commission,https://www.compcom.co.za/
Competition Tribunal,https://www.comptrib.co.za/
Construction Education and Training Authority (CETA),https://www.ceta.org.za/
